neigh_name,total_liv_score,edmonton_rank,alberta_rank,percent_rank,ammenities_grade,cost_of_living_percent,crime_rate,median_income,in_labor_force,unemployment_rate,median_house_val,home_owner_percent,high_school_percent,bach_degree,test_scores,area_pop,pop_dense,med_age,marri_coup,fam_w_kids,eng_only,french_only
windermere,91,2,2,99,15,99,2549,157833,83,4,596515,86,93,46,76,9171,1717,32,78,54,90.2,0.1
bulyea heights,89,7,10,99,15,98,2549,191857,66,3,505894,94,93,48,83,4138,2607,47,87,54,90.5,0.1
parkview,87,8,12,99,15,100,2614,141214,72,3,562620,89,92,46,72,3623,2259,43,79,48,88.2,0.1
rhatigan ridge,88,10,21,99,15,99,2549,180283,60,4,528071,98,93,55,75,3393,2604,48,88,52,90.0,0.0
crestwood,83,11,22,99,15,108,2549,160266,71,1,717666,81,89,47,73,2755,2271,46,83,47,89.6,0.0
grandview heights,83,12,23,99,15,108,2549,200000,71,3,756476,82,94,62,87,1214,2187,46,89,51,87.6,0.0
aspen gardens,86,13,26,99,15,101,2549,162114,68,3,553517,94,94,56,83,1854,2624,44,82,53,90.1,0.0
mactaggart,83,19,50,99,15,103,2549,183453,72,4,645016,84,91,48,74,4812,1317,37,85,61,90.5,0.0
lansdowne,82,23,82,98,15,102,2549,136840,74,3,675188,64,91,54,70,1233,2097,42,81,49,90.0,0.0
twin brooks,86,24,84,98,15,94,4111,132282,64,3,431039,94,89,43,77,7113,2426,46,86,54,90.6,0.1
laurier heights,82,25,85,98,15,102,2549,172141,69,3,603967,86,91,51,63,2913,1415,50,78,46,86.0,0.0
the orchards at ellerslie,85,26,87,98,15,95,3227,142752,84,5,487752,94,92,39,67,4931,1037,32,80,62,90.9,0.1
patricia heights,86,27,91,98,15,93,4526,121058,72,5,430157,51,89,32,75,2047,2650,35,62,46,88.9,0.0
edgemont,84,37,124,98,12,95,2687,162362,81,6,468708,88,90,34,74,3880,763,33,77,55,91.0,0.0
brookside,82,39,137,97,15,98,3145,132331,67,6,539116,80,91,52,76,2133,1845,40,79,50,88.5,0.2
granville,84,40,139,97,15,92,3304,155132,79,3,428826,95,89,33,71,2837,1883,34,79,61,91.3,0.0
rio terrace,82,45,181,97,15,96,3887,137692,60,2,434276,91,93,42,62,1379,1692,45,79,46,81.8,0.0
capilano,82,48,198,96,15,92,4596,125612,73,2,403779,93,93,34,73,2875,2191,48,78,43,92.1,0.0
allard,81,54,219,96,12,94,4274,120570,81,5,460281,78,91,40,70,4948,2334,31,70,55,90.2,0.2
walker,80,58,246,95,15,93,4394,119239,82,6,452263,88,89,44,67,10422,3549,32,80,60,90.9,0.2
griesbach,80,62,264,95,15,92,4827,118123,71,2,408307,70,89,33,66,6650,2239,35,67,49,89.5,0.2
leger,79,63,265,94,15,94,4560,125000,63,4,410264,83,91,48,76,3273,2683,41,84,63,91.4,0.1
ambleside,79,65,273,94,15,92,4945,114134,85,5,411244,84,94,48,73,5671,1518,32,76,50,90.1,0.0
grovenor,78,68,278,94,15,94,5049,104037,74,5,440492,69,87,34,68,2678,2947,40,60,38,89.0,0.0
webber greens,79,70,280,94,15,92,4905,112392,81,4,422787,77,88,31,64,3653,2620,34,78,58,92.5,0.0
glenora,74,72,284,94,15,104,2549,126572,72,3,653618,85,90,46,71,4108,1786,42,75,45,89.1,0.1
greenview,80,73,292,93,15,88,6223,101251,67,7,320241,79,89,30,70,3128,3219,39,73,46,88.8,0.2
charlesworth,78,75,305,93,15,91,4995,113510,82,6,408143,77,88,32,70,6445,2376,31,76,60,91.1,0.2
terwillegar towne,77,78,322,92,15,93,4668,124317,75,4,400990,80,91,42,74,6781,3783,38,76,57,90.7,0.0
mayliewan,77,80,324,92,15,92,5065,113721,67,4,399443,95,80,15,71,4564,3864,40,81,58,91.0,0.2
kernohan,79,81,326,92,15,87,6561,100954,60,5,283538,81,85,16,66,3744,4063,39,69,42,93.4,0.1
dechene,77,82,331,92,15,91,5021,119461,68,2,381137,97,89,36,74,1855,2595,51,83,52,92.9,0.3
jackson heights,78,85,337,91,15,89,5642,115703,66,7,326765,91,86,25,70,4448,3729,39,81,55,91.3,0.0
mcqueen,77,90,348,91,15,89,6251,93882,70,4,347006,58,87,26,73,1833,2617,38,69,42,93.1,0.0
strathcona,76,92,350,90,15,93,6214,73650,80,4,433198,35,93,52,70,9654,5178,34,57,26,85.4,0.1
desrochers,75,95,361,89,12,94,4062,127144,84,6,457377,77,90,40,59,725,436,31,61,52,91.5,0.2
westmount,76,98,366,89,15,91,6586,75893,81,5,382452,55,91,40,68,6621,3443,37,63,37,88.3,0.1
mckernan,73,101,372,89,15,97,5576,75961,78,6,495336,45,96,58,74,2807,3204,30,64,36,85.9,0.0
greenfield,76,102,374,89,15,90,5680,109094,68,5,349298,81,90,44,74,4060,2629,43,79,45,87.3,0.1
parkallen,74,105,380,89,15,94,5602,90498,80,4,433406,59,93,50,71,2583,3100,34,62,39,87.4,0.0
carlton,76,106,381,89,15,90,5522,112767,75,3,352086,84,86,27,69,5478,4442,34,77,58,92.2,0.1
belle rive,75,107,382,89,15,91,4920,123562,65,3,375770,90,79,18,64,4222,3520,41,80,60,91.2,0.1
